case_name,state,date_filed,issue,status,link
"Daugherty v. Fulton, No. 2021CV344953 (Ga. Super. Ct., Fulton Cnty.)",Georgia,01/25/2021,"Contestant, a Georgia voter, alleges a range of fraud. Contestant alleges the secretary of state certified ""patently inaccurate"" results, that Texas rejected the Dominion voting system used in Georgia, that county audits weren't composed of the proper parties, and that there were fraudulent ballots without creases or on different paper. Contestant requests the court invalidate the senate elections.",Active,https://healthyelections-case-tracker.stanford.edu/detail?id=451
"Gohmert v. Pence, No. 20A115 (S. Ct.)",Texas,01/06/2021,,Active,https://healthyelections-case-tracker.stanford.edu/detail?id=444
"Trump v. Kemp, 1:20-cv-05310-MHC (N.D. Ga.)",Georgia,12/31/2020,Emergency Application for Stay to Justice Alito.,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=446
"Trump v. Wisconsin Elections Commissions, No. 20-883 (Sup. Ct.)",Wisconsin,12/30/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=406
"Trump v. Biden, No. 20-882 (Sup. Ct.)",Wisconsin,12/29/2020,01/06/2021: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=418
"Gohmert v. Pence, No. 6:20-cv-00660 (E.D. Tx.)",Texas,12/27/2020,"Gohmert v. Pence, No. 6:20-cv-00660 (E.D. Tx.)",Active,https://healthyelections-case-tracker.stanford.edu/detail?id=444
"Majority Forward v. Ben Hill County, No. 1:20-cv-00266-LAG (M.D. Ga.)",Georgia,12/23/2020,"President Trump requests an emergency injunction to de-certify Georgia's election results, alleging that Georgia's manner of conducting the election violated the Electors Clause.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=442
"Fair Fight v. True the Vote, No. 2:20-mi-99999-UNA (N.D. Ga.)",Georgia,12/23/2020,,Active,https://healthyelections-case-tracker.stanford.edu/detail?id=443
"Favorito v. Cooney, No. 2020CV343938 (Ga. Super. Ct., Fulton Cnty.)",Georgia,12/23/2020,12/31/2020: ,Active,https://healthyelections-case-tracker.stanford.edu/detail?id=445
"Wisconsin Voters Alliance v. Pence, No. 1:20-cv-03791-JEB (D.D.C.)",District Columbia,12/22/2020,Petition for cert.,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=441
"Donald J. Trump for President, Inc. v. Degraffenreid, No. 20- (Sup. Ct.)",Pennsylvania,12/20/2020,,Active,https://healthyelections-case-tracker.stanford.edu/detail?id=329
"Donald J. Trump for President, Inc. v. Degraffenreid, No. 30 EAP 2020 (Sup. Ct.)",Pennsylvania,12/20/2020,12/30/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=346
"Donald J. Trump for President, Inc. v. Degraffenreid, Nos. 31 EAP 2020, 32 EAP 2020, 33
EAP 2020, 34 EAP 2020, 35 EAP 2020, 29 WAP 2020 (Sup. Ct.)",Pennsylvania,12/20/2020,"Trump v. Wisconsin Elections Commissions, No. 2:20-cv-01785 (E.D. Wis.)",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=379
"Georgia Republican Party v. Raffensperger, No. 20-14741 (11th Cir.)",Georgia,12/18/2020,Petition for cert.,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=429
"Lin Wood v. Raffensperger, No. 1:20-cv-05155-TCB (N.D. Ga.)",Georgia,12/18/2020,,Active,https://healthyelections-case-tracker.stanford.edu/detail?id=439
"Georgia Republican Party v. Raffensperger, No. 2:20-cv-00135-LGW-BWC (S.D. Ga.)",Georgia,12/17/2020,12/29/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=438
"New Georgia Project v. Shelton, No. 2020V123366K (Ga. Super. Ct., Houston Cnty.)",Georgia,12/16/2020,"Trump v. Biden, No. 2020CV007092 (Wis. Super. Ct., Milwaukee Cnty.)",Active,https://healthyelections-case-tracker.stanford.edu/detail?id=435
"New Georgia Project v. Cooney, No. 2020CV343646 (Ga. Super. Ct., Fulton Cnty.)",Georgia,12/16/2020,"Plaintiffs, the United States Representative for Texas’s First Congressional District and the slate of Republican Presidential Electors for the State of Arizona, alleged that the elector dispute resolution provisions in Section 15 of the Electoral Count Act are unconstitutional, because they violate the Electors Clause and the Twelfth Amendment. Plaintiffs alleged that the Electoral Count Act violates the Electors Clause by transferring the ""manner of appointing"" from the state legislatures to the state executive. Plaintiffs alleged that the Act violates the Twelfth Amendment because it limits the Defendant's - Vice President Pence's - exclusive authority and sole discretion to determine which slates of electors for a State may be counted and replaces the Twelfth Amendment’s dispute resolution procedure, under which the House of Representatives has authority to choose the President. Plaintiffs sought declaratory judgment that Sections 5 and 15 of the Electoral Count Act are unconstitutional, and that Vice President Pence, on January 6, 2021, is subject solely to the requirements of the Twelfth Amendment.",Active,https://healthyelections-case-tracker.stanford.edu/detail?id=437
"Burk v. Ducey, No. CV-20-0349-AP/EL (Ariz. Sup. Ct.)",Arizona,12/16/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=422
"New Georgia Project v. Kaplan, No. 2020-CV-073305  (Ga. Super. Ct., Bibb Cnty.)",Georgia,12/15/2020,12/27/2020: ,Active,https://healthyelections-case-tracker.stanford.edu/detail?id=433
"New Georgia Project v. Evans, No. __ (Ga. Super. Ct., Clarke Cnty.)",Georgia,12/15/2020,"Gohmert v. Pence, No. 20A115 (S. Ct.)",Active,https://healthyelections-case-tracker.stanford.edu/detail?id=434
"New Georgia Project v. Willis, No. 20-CV-003112 (Ga. Super. Ct., Paulding Cnty.)",Georgia,12/15/2020,"Plaintiffs, a voter registration nonprofit and registered voter, alleged that True the Vote, a Texas-based organization, was successfully engaging in voter suppression. Plaintiffs contended that True the Vote submitted lists of registered voters whose names purportedly appeared in the United States Postal Service’s National Change of Address (“NCOA”) database, an impermissible basis for a lawful challenge to a voter’s eligibility. Plaintiffs challenged the decisions by both the Ben Hill County Board of Elections and the Muscogee County Board of Elections to sustain True the Vote's challenges to more than 4,000 targeted registered voters. Plaintiffs requested an injunction preventing the Boards from discarding the ballots of the targeted voters, on the basis that doing so violates the NVRA.",Active,https://healthyelections-case-tracker.stanford.edu/detail?id=436
"In re William Feehan, No. 20-859 (S. Ct.)",Wisconsin,12/15/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=407
"Trump v. Toulouse Oliver, No. 1:20-cv-01289 (D.N.M.)",New Mexico,12/14/2020,12/23/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=430
"Boland v. Raffensperger, No. S21M0565 (Ga. Sup. Ct.)",Georgia,12/14/2020,"Plaintiff, Fair Fight, alleges that defendant Texas-based organization seeks to engage in mass voter suppression. Defendant has preemptively challenged over 364,000 Georgia voters, many of whom are first-time voters of color, based on the USPS National Change of Address (“NCOA”) registry. Plaintiff claims that these challenges and True the Vote's other programming, encouraging citizen watchdogs and offering monetary rewards, amount to intimidation that violates the Voting Rights Act. Plaintiff requests an injunction so that defendant cannot contact voters about their status and must withdraw their challenges.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=403
"Boland v. Raffensperger, No. S21M0565 (Ga. Sup. Ct.)",Georgia,12/14/2020,Appellants argue that the superior court judge lacked the authority to rule in an election contest and appeal her order.,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=403
"Trump v. Wisconsin Elections Commissions, No. 20-3414  (7th Cir.)",Wisconsin,12/12/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=406
"Still v. Raffensperger, No. 2020CV343711 (Ga. Super. Ct., Fulton Cnty.)",Georgia,12/12/2020,12/14/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=440
"King v. Whitmer, No. 20-815 (Sup. Ct.)",Michigan,12/11/2020,"Boland v. Raffensperger, No. 2020CV343018 (Ga. Ct., Fulton Cty.)",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=410
"Ward v. Jackson, No. 20-809 (Sup. Ct.)",Arizona,12/11/2020,Appeal from the district court ruling.,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=408
"Trump v. Biden, No. 2020AP2038 (Wis. Sup. Ct.)",Wisconsin,12/11/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=418
"Trump v. Raffensperger, No. S21M0561 (Ga. Sup. Ct.)",Georgia,12/11/2020,12/12/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=414
"In re Coreco Ja'Qan Pearson, No. 20-816 (Sup. Ct.)",Georgia,12/11/2020,"Trump v. Wisconsin Elections Commissions, No. 2:20-cv-01785 (E.D. Wis.)",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=401
"Georgia Republican Party v. Raffensperger, No. 1:20-cv-05018-ELR",Georgia,12/10/2020,"Petitioner, voter and candidate for presidential elector, initiates an election contest to decertify Georgia's results in the General Election. Petitioner contends that Coffee County experienced irregularities during its recount and was unable to certify its recount by the secretary of state's deadline. Petitioner extrapolates this across Georgia's 159 counties to demonstrate that the election results might instead favor President Trump.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=429
"Twelfth Congressional District Republican Committee v. Raffensperger, No. 1:20-cv-00180-JRH-BKE (S.D. Ga.)",Georgia,12/09/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=432
"Texas v. Pennsylvania et al., No. 22O155 (Sup. Ct.)",Texas,12/08/2020,12/12/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=420
"King v. Whitmer, No. 20-2205 (6th Cir.)",Michigan,12/08/2020,"Due to the timeline of the Sixth Circuit appeal, petitioners apply directly to the Supreme Court to ""stay the Electoral College Vote"" pending the outcome of this lawsuit.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=410
"Lin Wood v. Raffensperger, No. 20-799 (Sup. Ct.)",Georgia,12/08/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=377
"Republican National Committee v. State Election Board, No. 2020CV3423319 (Ga. Super. Ct., Fulton Cnty.)",Georgia,12/08/2020,12/11/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=431
"Burk v. Ducey, No. CV202001869 (Ariz. Super. Ct., Pinal Cnty.)",Arizona,12/07/2020,"King v. Whitmer, No. 2:20-cv-13134-LVP-RSW (E.D. Mich.)",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=422
"Donald J. Trump for President v. Benson, No. 162320 (Mich. Sup. Ct.)",Michigan,12/07/2020,"In an appeal from the Arizona Supreme Court's opinion that Arizona's hand count audit was conducted lawfully and without fraud, petitioners ask the Supreme Court to consider whether the Electoral Count Act (inclusive of 3 U.S.C. § 5, the “safe harbor” statute) imposes unconstitutional deadlines on state courts’ final determination of disputes over presidential electors.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=338
"Leaf v. Whitmer, No. 1:20-CV-1169 (E.D. Mich.)",Michigan,12/06/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=423
"Pearson v. Kemp, No. 20-14480 (11th Cir.)",Georgia,12/04/2020,12/11/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=401
"Trump v. Raffensperger, No. 2020CV343255 (Ga. Ct., Fulton Cnty.)",Georgia,12/04/2020,"Ward v. Jackson, No. CV2020-015285 (Ariz. Super. Ct., Maricopa Cnty.)",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=414
"Stevenson v. Ducey, No. CV2020-096490 (Ariz. Super. Ct., Maricopa Cnty.)",Arizona,12/04/2020,"Appellants focus their objections on four different categories of ballots—each applying only to voters in Dane and Milwaukee Counties. First, they seek to strike all ballots cast by voters who claimed indefinitely confined status since March 25, 2020. Second, they argue that a form used for in-person absentee voting is not a ""written application"" and therefore all in-person absentee ballots should be struck. Third, they maintain that municipal officials improperly added witness information on absentee ballot certifications, and that these ballots are therefore invalid. Finally, they assert that all ballots collected at ""Democracy in the Park,"" two City of Madison events in late September and early October, were illegally cast.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=416
"Metcalfe v. Wolf, No. 636 MD 2020 (Penn. Commonw. Ct.)",Pennsylvania,12/04/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=419
